NoOfRegexps, javaMillis, regexMillis, quotient
1, 131, 282, .46
101, 122, 102, 1.19
201, 120, 102, 1.17
301, 109, 107, 1.01
401, 113, 93, 1.21
501, 109, 98, 1.11
601, 108, 97, 1.11
701, 134, 100, 1.34
801, 113, 99, 1.14
901, 121, 116, 1.04
1001, 114, 103, 1.10
1101, 125, 99, 1.26
1201, 121, 98, 1.23
1301, 115, 96, 1.19
1401, 113, 96, 1.17
1501, 107, 97, 1.10
1601, 112, 97, 1.15
1701, 114, 91, 1.25
1801, 106, 91, 1.16
1901, 113, 97, 1.16
2001, 106, 98, 1.08
2101, 118, 95, 1.24
2201, 135, 92, 1.46
2301, 116, 91, 1.27
2401, 127, 93, 1.36
2501, 110, 93, 1.18
2601, 120, 102, 1.17
2701, 109, 94, 1.15
2801, 108, 90, 1.20
2901, 108, 100, 1.08
3001, 121, 96, 1.26
3101, 135, 91, 1.48
3201, 136, 98, 1.38
3301, 123, 92, 1.33
3401, 106, 95, 1.11
3501, 125, 98, 1.27
3601, 109, 103, 1.05
3701, 134, 107, 1.25
3801, 110, 100, 1.10
3901, 120, 97, 1.23
4001, 121, 96, 1.26
4101, 120, 97, 1.23
4201, 115, 95, 1.21
4301, 109, 97, 1.12
4401, 105, 96, 1.09
4501, 124, 91, 1.36
4601, 109, 100, 1.09
4701, 109, 100, 1.09
4801, 114, 95, 1.20
4901, 110, 98, 1.12
5001, 110, 94, 1.17
5101, 108, 95, 1.13
5201, 110, 102, 1.07
5301, 122, 92, 1.32
5401, 107, 98, 1.09
5501, 110, 94, 1.17
5601, 108, 94, 1.14
5701, 127, 95, 1.33
5801, 108, 90, 1.20
5901, 124, 97, 1.27
6001, 118, 93, 1.26
6101, 114, 103, 1.10
6201, 117, 97, 1.20
6301, 117, 101, 1.15
6401, 117, 103, 1.13
6501, 117, 96, 1.21
6601, 118, 98, 1.20
6701, 116, 98, 1.18
6801, 129, 102, 1.26
6901, 109, 94, 1.15
7001, 156, 158, .98
7101, 147, 122, 1.20
7201, 137, 117, 1.17
7301, 141, 121, 1.16
7401, 126, 107, 1.17
7501, 139, 109, 1.27
7601, 119, 105, 1.13
7701, 110, 101, 1.08
7801, 124, 102, 1.21
7901, 159, 105, 1.51
8001, 136, 113, 1.20
8101, 151, 100, 1.51
8201, 133, 108, 1.23
8301, 229, 166, 1.37
8401, 155, 122, 1.27
8501, 146, 127, 1.14
8601, 126, 108, 1.16
8701, 130, 112, 1.16
8801, 116, 108, 1.07
8901, 134, 103, 1.30
9001, 124, 114, 1.08
9101, 125, 106, 1.17
9201, 135, 127, 1.06
9301, 124, 108, 1.14
9401, 136, 102, 1.33
9501, 146, 119, 1.22
9601, 118, 102, 1.15
9701, 112, 107, 1.04
9801, 123, 108, 1.13
9901, 116, 107, 1.08
10001, 116, 95, 1.22
10101, 121, 106, 1.14
10201, 112, 100, 1.12
10301, 107, 96, 1.11
10401, 107, 103, 1.03
