timestamp,testSeriesId,metadata,matcherTypeName1,usedMemoryInMb1,durationInMillis1,matcherTypeName2,usedMemoryInMb2,durationInMillis2,noOfMatches,noOfMismatches,noOfRegexps,corpusLength,2to1Ratio
1684151426228,99d2b216-dc52-44c0-b379-3a74a11681a7,master,rmatch,917,4475,java,54,391,0,96068,1154369,1179077,0
1684151734259,e3b088d2-65a6-4766-994f-a6bcb020ae63,master,rmatch,599,6621,java,55,375,0,96068,1154369,1179077,0
1684152005265,42bb90f0-1649-490b-8826-f918c9092e6a,master,rmatch,247,4169,java,54,351,96068,0,1154369,1179077,0
1684152107237,700981ac-a4cd-49a1-9ee3-f17d288559a9,master,rmatch,769,19949,java,148,1709,207832,6111,1154369,1179077,0
1684152163314,0f75451c-5881-456c-9eea-d3e5207e35c1,master,rmatch,171,9560,java,100,950,142322,262,1154369,1179077,0
1684152191817,bdabd9ae-3051-49bd-9a96-cbf513e16868,master,rmatch,1091,7280,java,78,698,125401,164,1154369,1179077,0
1684152222095,38ac9d4f-7349-4e42-ab47-37cf86f755f7,master,rmatch,446,6237,java,67,542,112977,2,1154369,1179077,0
1684153312432,836b4ddb-98e9-4ace-bed1-07d9962e5864,master,rmatch,809,10224,java,69,651,112977,2,1154369,1179077,0
1684153360840,583ee166-addc-4c5e-8415-f2c33af0f740,master,rmatch,290,9247,java,70,558,112977,2,1154369,1179077,0
1684153420628,a940986d-51d3-4163-b922-b1f4ec19efae,master,rmatch,560,9700,java,70,593,112977,2,1154369,1179077,0
1684156257221,bdc222ba-105d-47c2-b369-c35406625c81,u/la3lma/bugfix-laden-den-anomality,rmatch,256,6110,java,67,497,112977,2,1154369,1179077,0
1684156412907,f2455853-e2d1-48b0-9d3a-f3962093d764,u/la3lma/bugfix-laden-den-anomality,rmatch,758,5205,java,67,515,112977,2,1154369,1179077,0
1684156495256,601d0524-15a5-4926-96b9-66b130bc7523,u/la3lma/bugfix-laden-den-anomality,rmatch,817,5552,java,68,480,112977,2,1154369,1179077,0
1684156832196,831daae9-302b-4dec-a034-d2b8fe80291e,u/la3lma/bugfix-laden-den-anomality,rmatch,96,8883,java,69,512,112977,2,1154369,1179077,0
1684157759873,65dcbf51-4263-49e5-b9b7-31151d53aa58,u/la3lma/bugfix-laden-den-anomality,rmatch,436,10341,java,69,756,112977,2,1154369,1179077,0
