NoOfRegexps, javaMillis, regexMillis, quotient
1, 189, 167, 1.13
101, 170, 156, 1.08
201, 181, 148, 1.22
301, 169, 149, 1.13
401, 179, 147, 1.21
501, 172, 150, 1.14
601, 171, 148, 1.15
701, 179, 147, 1.21
801, 168, 144, 1.16
901, 174, 148, 1.17
1001, 172, 149, 1.15
1101, 171, 146, 1.17
1201, 175, 152, 1.15
1301, 170, 145, 1.17
1401, 173, 151, 1.14
1501, 171, 148, 1.15
1601, 171, 144, 1.18
1701, 170, 147, 1.15
1801, 176, 151, 1.16
1901, 171, 145, 1.17
2001, 168, 147, 1.14
2101, 175, 145, 1.20
2201, 169, 146, 1.15
2301, 174, 148, 1.17
2401, 163, 141, 1.15
2501, 163, 141, 1.15
2601, 166, 144, 1.15
2701, 165, 140, 1.17
2801, 177, 142, 1.24
2901, 167, 136, 1.22
3001, 165, 142, 1.16
3101, 162, 143, 1.13
3201, 164, 142, 1.15
3301, 162, 145, 1.11
3401, 174, 139, 1.25
3501, 162, 148, 1.09
3601, 170, 141, 1.20
3701, 164, 143, 1.14
3801, 166, 137, 1.21
3901, 173, 139, 1.24
4001, 162, 137, 1.18
4101, 156, 135, 1.15
4201, 154, 135, 1.14
4301, 156, 136, 1.14
4401, 162, 136, 1.19
4501, 153, 135, 1.13
4601, 159, 142, 1.11
4701, 157, 157, 1.00
4801, 161, 134, 1.20
4901, 164, 145, 1.13
5001, 161, 133, 1.21
5101, 163, 133, 1.22
5201, 163, 133, 1.22
5301, 155, 134, 1.15
5401, 158, 136, 1.16
5501, 157, 135, 1.16
5601, 154, 143, 1.07
5701, 155, 135, 1.14
5801, 161, 136, 1.18
5901, 156, 133, 1.17
6001, 162, 135, 1.20
6101, 156, 135, 1.15
6201, 156, 139, 1.12
6301, 158, 149, 1.06
6401, 158, 138, 1.14
6501, 166, 135, 1.22
6601, 162, 132, 1.22
6701, 158, 136, 1.16
6801, 156, 150, 1.04
6901, 158, 137, 1.15
7001, 156, 137, 1.13
7101, 159, 140, 1.13
7201, 157, 135, 1.16
7301, 159, 141, 1.12
7401, 157, 136, 1.15
7501, 159, 137, 1.16
7601, 169, 132, 1.28
7701, 154, 131, 1.17
7801, 155, 128, 1.21
7901, 152, 130, 1.16
8001, 152, 130, 1.16
8101, 150, 133, 1.12
8201, 153, 137, 1.11
8301, 154, 127, 1.21
8401, 156, 130, 1.20
8501, 150, 130, 1.15
8601, 151, 134, 1.12
8701, 153, 131, 1.16
8801, 155, 131, 1.18
8901, 148, 129, 1.14
9001, 153, 131, 1.16
9101, 154, 129, 1.19
9201, 154, 128, 1.20
9301, 158, 126, 1.25
9401, 150, 131, 1.14
9501, 155, 130, 1.19
9601, 154, 129, 1.19
9701, 153, 132, 1.15
9801, 151, 129, 1.17
9901, 151, 131, 1.15
10001, 153, 138, 1.10
10101, 151, 128, 1.17
10201, 157, 131, 1.19
10301, 149, 130, 1.14
10401, 153, 132, 1.15
