NoOfRegexps, javaMillis, regexMillis, quotient
1, 135, 119, 1.13
101, 141, 120, 1.17
201, 180, 123, 1.46
301, 159, 169, .94
401, 134, 150, .89
501, 119, 108, 1.10
601, 133, 113, 1.17
701, 134, 106, 1.26
801, 126, 123, 1.02
901, 127, 139, .91
1001, 130, 113, 1.15
1101, 127, 108, 1.17
1201, 139, 125, 1.11
1301, 129, 122, 1.05
1401, 137, 106, 1.29
1501, 124, 113, 1.09
1601, 135, 105, 1.28
1701, 129, 112, 1.15
1801, 135, 113, 1.19
1901, 133, 113, 1.17
2001, 135, 123, 1.09
2101, 118, 111, 1.06
2201, 126, 110, 1.14
2301, 141, 94, 1.50
2401, 112, 93, 1.20
2501, 125, 95, 1.31
2601, 138, 105, 1.31
2701, 128, 126, 1.01
2801, 143, 107, 1.33
2901, 135, 134, 1.00
3001, 112, 103, 1.08
3101, 134, 101, 1.32
3201, 122, 98, 1.24
3301, 138, 117, 1.17
3401, 128, 106, 1.20
3501, 128, 109, 1.17
3601, 145, 134, 1.08
3701, 137, 126, 1.08
3801, 141, 108, 1.30
3901, 121, 107, 1.13
4001, 140, 107, 1.30
4101, 127, 101, 1.25
4201, 141, 111, 1.27
4301, 123, 105, 1.17
4401, 131, 117, 1.11
4501, 120, 101, 1.18
4601, 125, 103, 1.21
4701, 143, 107, 1.33
4801, 138, 113, 1.22
4901, 133, 115, 1.15
5001, 121, 111, 1.09
5101, 122, 107, 1.14
5201, 132, 107, 1.23
5301, 127, 109, 1.16
5401, 133, 106, 1.25
5501, 148, 106, 1.39
5601, 138, 105, 1.31
5701, 128, 117, 1.09
5801, 128, 115, 1.11
5901, 139, 111, 1.25
6001, 135, 105, 1.28
6101, 124, 141, .87
6201, 129, 103, 1.25
6301, 115, 95, 1.21
6401, 129, 116, 1.11
6501, 133, 102, 1.30
6601, 115, 101, 1.13
6701, 132, 102, 1.29
6801, 121, 99, 1.22
6901, 117, 98, 1.19
7001, 119, 101, 1.17
7101, 124, 111, 1.11
7201, 122, 114, 1.07
7301, 117, 105, 1.11
7401, 123, 99, 1.24
7501, 120, 109, 1.10
7601, 134, 105, 1.27
7701, 123, 110, 1.11
7801, 127, 113, 1.12
7901, 124, 108, 1.14
8001, 134, 110, 1.21
8101, 144, 137, 1.05
8201, 142, 134, 1.05
8301, 143, 121, 1.18
8401, 169, 116, 1.45
8501, 155, 125, 1.24
8601, 139, 137, 1.01
8701, 139, 131, 1.06
8801, 158, 113, 1.39
8901, 144, 112, 1.28
9001, 135, 106, 1.27
9101, 129, 127, 1.01
9201, 133, 107, 1.24
9301, 137, 101, 1.35
9401, 135, 118, 1.14
9501, 123, 110, 1.11
9601, 127, 107, 1.18
9701, 141, 115, 1.22
9801, 128, 113, 1.13
9901, 139, 127, 1.09
10001, 146, 146, 1.00
10101, 139, 124, 1.12
10201, 152, 130, 1.16
10301, 139, 138, 1.00
10401, 134, 106, 1.26
