secondsSinceEpoch, millisDuration, memoryInMb
1342601582, 1818370, 0
1342703556,  235587, 209
1342813710, 287208, 231
1342814223, 288009, 298
1342981174, 241851, 433
1342981559, 255104, 553
1342984602, 204085, 388
1342985151, 198399, 183
1342998235, 204991, 351
1343000670, 205636, 339
1343001936, 224559, 355
1343001979, 221319, 190
1343003900, 197619, 348
1343004879, 171769, 306
1343534217, 7049147, 945
1343822399, 10515453, 840
1343840685, 232381, 584
1343841407, 167520, 555
1343911110, 182608, 555
1343952884, 207722, 200
1344185037, 8379, 421
1344185192, 8915, 203
1344185447, 40289, 211
1344185639, 40549, 190
1344185728, 14056, 315
1344188230, 15598, 305
1344192580, 37553, 154
1344195174, 35680, 154
1344196978, 67219, 430
1344197141, 87160, 242
1344197277, 95115, 556
1344197395, 62903, 412
1344197610, 61977, 623
1344197922, 62603, 421
1344234269, 54553, 428
1344241206, 57712, 514
1344258090, 3279915, 470
1344265376, 55881, 419
1344265468, 60589, 508
1344265825, 61075, 504
1344347820, 51957, 485
1344412925, 65076, 556
1344589508, 57277, 456
1344590846, 62060, 248
1344610470, 54686, 472
1344875903, 59522, 487
1344875972, 55752, 489
