secondsSinceEpoch, millisDuration, memoryInMb
1343581451, 10797, 6
1343581919, 10799, 23
1343581977, 10495, 6
1343582520, 10674, 23
1343583903, 11502, 9
1343583918, 10849, 12
1343592075, 10740, 22
1343592169, 10712, 6
1343592198, 11142, 15
1343596037, 10354, 9
1343596074, 10750, 6
1343596266, 10837, 13
1343631660, 10960, 8
1343635368, 10808, 21
1343685629, 10448, 5
1343685678, 12135, 15
1343685870, 12595, 5
1343689475, 10935, 10
1343692896, 10618, 8
1343717045, 10592, 6
1343717082, 10350, 13
1343718257, 10416, 7
1343718970, 10461, 8
1343719001, 10273, 5
1343720704, 10490, 6
1343725910, 10378, 5
1343763607, 10799, 5
1343763646, 10656, 10
1343763667, 10555, 5
1343763713, 10542, 9
1343804482, 11440, 8
1343804513, 11533, 22
1343804542, 11348, 16
1343804667, 11705, 10
1343804729, 11619, 9
1343832657, 10575, 6
1343834095, 11238, 9
1343834126, 11263, 10
1343834416, 11378, 22
1343834448, 11348, 7
1343834505, 12034, 20
1343834551, 12128, 20
1343838609, 12750, 20
1343838721, 12620, 19
1343840309, 602, 6
1343840354, 578, 7
1343840364, 558, 8
1343841227, 551, 8
1343843122, 588, 7
1343843189, 615, 10
1343843256, 622, 7
1343911376, 607, 5
1343911392, 565, 7
1343911502, 600, 7
1343912737, 610, 6
1343912831, 585, 7
1343913069, 612, 7
1343913115, 648, 7
1343916914, 645, 7
1343919328, 592, 7
1343920389, 558, 7
1343931631, 648, 7
1343950278, 634, 8
1343950772, 668, 8
1343952672, 654, 8
1343956028, 642, 8
1343994848, 694, 8
1343997162, 720, 5
1344184979, 738, 5
1344185024, 756, 5
1344185068, 832, 5
1344185172, 802, 5
1344185340, 842, 19
1344185399, 808, 5
1344185597, 774, 5
1344185713, 778, 6
1344188213, 735, 5
1344192540, 914, 6
1344195136, 835, 6
1344195465, 1044, 5
1344196818, 896, 5
1344196909, 1035, 6
1344197052, 843, 5
1344197179, 883, 5
1344197330, 701, 12
1344197546, 831, 5
1344197858, 802, 5
1344234204, 795, 5
1344263784, 793, 5
1344264226, 832, 5
1344265308, 786, 5
1344267522, 1375, 14
1344272629, 982, 16
1344272751, 1243, 17
1344273290, 882, 11
1344273876, 1233, 5
1344273894, 1241, 17
1344273950, 1337, 18
1344273967, 1193, 16
1344346623, 1074, 16
1344347755, 1033, 20
1344348728, 1303, 7
1344348922, 1084, 14
1344348948, 1248, 7
1344354752, 1243, 18
1344356512, 1223, 7
1344408003, 6016, 17
1344408519, 1502, 9
1344408744, 1354, 12
1344409687, 1459, 9
1344443616, 1271, 8
1344444188, 1000, 17
1344444231, 1134, 17
1344444429, 1218, 7
1344445343, 1013, 16
1344445419, 1199, 7
1344458486, 1387, 9
1344459258, 1147, 4
1344459373, 1135, 20
1344459848, 1200, 16
1344492219, 1634, 9
1344495256, 1115, 5
1344495500, 1023, 11
1344499890, 1269, 19
1344503555, 1209, 18
1344519009, 1074, 12
1344519282, 1371, 20
1344520676, 1284, 19
1344582591, 1258, 18
1344589412, 1244, 16
1344590782, 1564, 20
1344590867, 1114, 13
1344603659, 1284, 18
1344604881, 1338, 9
1344609647, 905, 11
1344609821, 1018, 15
1344610000, 958, 10
1344840431, 1304, 20
1344840480, 973, 12
1344846679, 946, 9
1344875754, 1323, 6
1344875841, 957, 15
1344875914, 1266, 20
1344876317, 1356, 16
1344876328, 1690, 7
1344926309, 1470, 20
1344927963, 1212, 18
1344928030, 1539, 10
1344946974, 1207, 18
1344947579, 1224, 19
1344950189, 1237, 7
1344950765, 1257, 16
1344958029, 1411, 16
1344971290, 1622, 14
1344982442, 1461, 6
1345057730, 1294, 17
1378118460, 1007, 116
1378118472, 550, 205
1378118513, 573, 200
1378118525, 584, 79
1378118654, 570, 230
1378119148, 593, 214
